1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.230812	0.000000	9.118739	0.012868	25.6
1	-0.250061	0.000000	9.118739	0.025279	1.3
2	-0.225073	0.000000	9.118739	0.012351	1.3
3	-0.254244	0.000000	9.118739	0.019557	1.2
4	-0.255952	0.000000	9.118739	0.021287	1.3
5	-0.274258	0.000000	9.118739	0.021305	1.3
6	-0.270446	0.000000	9.118739	0.027203	1.4
7	-0.244669	0.000000	9.118739	0.020660	1.3
8	-0.291168	0.000000	9.118739	0.016818	1.3
9	-0.248101	0.000000	9.118739	0.013582	1.2
10	-0.258224	0.000000	9.118739	0.018347	1.2
11	-0.277650	0.000000	9.118739	0.017494	1.2
12	-0.282390	0.000000	9.118739	0.018534	1.2
13	-0.274229	0.000000	9.118739	0.016794	1.3
14	-0.256170	0.000000	9.118739	0.014491	1.3
15	-0.272856	0.000000	9.118739	0.014724	1.3
16	-0.283802	0.000000	9.118739	0.022301	1.3
17	-0.294388	0.000000	9.118739	0.019389	1.2
18	-0.273636	0.000000	9.118739	0.012909	1.2
19	-0.281859	0.000000	9.118739	0.016139	1.2
20	-0.276919	0.000000	9.118739	0.016535	1.2
21	-0.279888	0.000000	9.118739	0.013014	1.3
22	-0.313654	0.000000	9.118739	0.017713	1.2
23	-0.287393	0.000000	9.118739	0.014446	1.2
24	-0.273304	0.000000	9.118739	0.019050	1.2
25	-0.283507	0.000000	9.118739	0.015286	1.3
26	-0.300122	0.000000	9.118739	0.013892	1.2
27	-0.300577	0.000000	9.118739	0.011562	1.2
28	-0.308867	0.000000	9.118739	0.010767	1.3
29	-0.290493	0.000000	9.118739	0.013175	1.3
30	-0.286971	0.000000	9.118739	0.010568	1.2
31	-0.311174	0.000000	9.118739	0.013545	1.2
32	-0.302341	0.000000	9.118739	0.015354	1.2
33	-0.286589	0.000000	9.118739	0.006881	1.2
34	-0.318876	0.000000	9.118739	0.015184	1.2
35	-0.334872	0.000000	9.118739	0.017282	1.2
36	-0.300193	0.000000	9.118739	0.014375	1.2
37	-0.315404	0.000000	9.118739	0.017072	1.2
38	-0.296480	0.000000	9.118739	0.013615	1.2
39	-0.310311	0.000000	9.118739	0.010596	1.2
40	-0.288582	0.000000	9.118739	0.011387	1.2
41	-0.337263	0.000000	9.118739	0.013849	1.2
42	-0.319291	0.000000	9.118739	0.017467	1.3
43	-0.330323	0.000000	9.118739	0.018524	1.1
44	-0.306449	0.000000	9.118739	0.015262	1.3
45	-0.295791	0.000000	9.118739	0.015189	1.2
46	-0.328965	0.000000	9.118739	0.011823	1.2
47	-0.329956	0.000000	9.118739	0.010490	1.2
48	-0.288679	0.000000	9.118739	0.013172	1.2
49	-0.351358	0.000000	9.118739	0.014016	1.3
50	-0.335647	0.000000	9.118739	0.010174	1.3
51	-0.323304	0.000000	9.118739	0.012939	1.3
52	-0.309304	0.000000	9.118739	0.011303	1.4
53	-0.313336	0.000000	9.118739	0.011133	1.4
54	-0.296976	0.000000	9.118739	0.015235	1.3
55	-0.331393	0.000000	9.118739	0.015256	1.3
56	-0.307334	0.000000	9.118739	0.013527	1.3
57	-0.310882	0.000000	9.118739	0.015387	1.3
58	-0.296422	0.000000	9.118739	0.013047	1.4
59	-0.318333	0.000000	9.118739	0.011158	1.4
60	-0.308352	0.000000	9.118739	0.013507	1.2
