1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.173436	0.000000	4.928793	0.009261	188.5
1	-0.183496	0.000000	4.928793	0.014261	1.5
2	-0.169165	0.000000	4.928793	0.012740	1.3
3	-0.176024	0.995733	4.705669	0.008189	1.3
4	-0.179045	1.987414	4.502666	0.008493	1.4
5	-0.185451	1.063103	4.691301	0.014972	1.4
6	-0.175563	2.045287	4.491359	0.013085	1.3
7	-0.192489	1.120917	4.679040	0.012280	1.4
8	-0.174835	0.196547	4.883090	0.004448	1.5
9	-0.188776	1.123845	4.678420	0.011574	1.4
10	-0.196625	0.203048	4.881593	0.018047	1.4
11	-0.174741	1.202996	4.661742	0.008536	1.5
12	-0.178980	0.278626	4.864254	0.009773	1.6
13	-0.169744	0.000000	4.928793	0.013071	1.6
14	-0.174258	0.999976	4.704762	0.015314	1.3
15	-0.168050	0.075606	4.911111	0.012967	1.3
16	-0.184688	0.000000	4.928793	0.010489	1.3
17	-0.204603	1.000000	4.704757	0.014141	1.4
18	-0.186808	2.000000	4.500202	0.013396	1.4
19	-0.160715	1.078220	4.688089	0.011459	1.6
20	-0.196785	2.078209	4.484952	0.012550	1.7
21	-0.168115	3.078209	4.298686	0.015434	1.4
22	-0.174558	2.832546	4.342996	0.010021	1.4
23	-0.182066	1.909302	4.518018	0.010543	1.3
24	-0.178058	2.349849	4.432776	0.011553	1.4
25	-0.198308	1.425479	4.615493	0.010088	1.3
26	-0.172289	2.425479	4.418465	0.010701	1.3
27	-0.172209	1.501230	4.599955	0.011384	1.4
28	-0.173620	2.501176	4.404233	0.010543	1.4
29	-0.174539	3.468743	4.230076	0.007599	1.3
30	-0.169906	4.468131	4.064085	0.007109	1.4
31	-0.172647	3.703820	4.189824	0.013786	1.5
32	-0.183574	4.703696	4.026839	0.009363	1.3
33	-0.160603	5.703696	3.876042	0.013959	1.4
34	-0.163744	4.779339	4.015023	0.008887	1.4
35	-0.196635	5.612919	3.889263	0.005783	1.3
36	-0.184355	6.277291	3.794536	0.011215	1.3
37	-0.184204	5.359406	3.926669	0.012302	1.3
38	-0.185192	4.480334	4.062139	0.009570	1.3
39	-0.168757	5.480328	3.908737	0.009321	1.4
40	-0.175770	6.323728	3.788087	0.011738	1.4
41	-0.178381	7.323728	3.654344	0.017357	1.4
42	-0.192980	6.399358	3.777630	0.009428	1.4
43	-0.191545	5.474988	3.909526	0.012946	1.3
44	-0.155054	4.551439	4.050834	0.012520	1.4
45	-0.178180	3.909225	4.155274	0.009333	1.4
46	-0.178471	4.172313	4.111845	0.010193	1.4
47	-0.186431	5.172313	3.954738	0.010273	1.3
48	-0.175321	6.164273	3.810323	0.010033	1.4
49	-0.159406	6.042767	3.827443	0.007171	1.3
50	-0.162569	7.036498	3.691782	0.006526	1.3
51	-0.153193	8.035821	3.564723	0.011632	1.3
52	-0.189196	7.378135	3.647338	0.011841	1.4
53	-0.181602	6.453766	3.770144	0.008088	1.3
54	-0.194640	5.529398	3.901508	0.010704	1.4
55	-0.161288	6.439334	3.772127	0.008532	1.3
56	-0.189029	5.535723	3.900578	0.012639	1.3
57	-0.190212	6.438992	3.772174	0.008729	1.3
58	-0.167129	7.438920	3.639542	0.010491	1.4
59	-0.164930	6.646237	3.743896	0.010866	1.4
60	-0.178886	5.831756	3.857543	0.015810	1.3
61	-0.163466	4.907389	3.995179	0.007804	1.4
62	-0.177547	3.983019	4.143000	0.009916	1.3
63	-0.187288	4.982995	3.983554	0.012780	1.4
64	-0.185762	4.229703	4.102492	0.012183	1.4
65	-0.163707	4.984613	3.983305	0.007531	1.3
66	-0.180273	4.174810	4.111437	0.012900	1.4
67	-0.191430	3.453962	4.232633	0.009771	1.3
68	-0.205186	4.453958	4.066348	0.013491	1.3
69	-0.183176	4.112963	4.121563	0.008970	1.4
70	-0.172925	5.112963	3.963727	0.010793	1.3
71	-0.170195	6.112947	3.817536	0.013734	1.4
72	-0.178817	5.188577	3.952282	0.011028	1.3
73	-0.183951	5.032682	3.975950	0.015370	1.3
74	-0.174963	6.031222	3.829078	0.011166	1.3
75	-0.158658	7.030883	3.692522	0.014865	1.3
76	-0.170597	8.030883	3.565329	0.010008	1.3
77	-0.184629	9.030883	3.446607	0.009926	1.3
78	-0.164956	8.106513	3.556065	0.013084	1.3
79	-0.205230	8.584375	3.498626	0.014033	1.3
80	-0.180607	7.660553	3.611397	0.011697	1.3
81	-0.174096	6.736184	3.731755	0.010546	1.3
82	-0.165757	6.266069	3.796097	0.013580	1.4
83	-0.204723	7.265945	3.661815	0.012326	1.4
84	-0.164123	6.341575	3.785614	0.012474	1.4
85	-0.198159	7.341575	3.652043	0.011378	1.4
86	-0.187643	6.815364	3.721132	0.011330	1.3
