1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.244967	0.000000	7.445017	0.007837	183.9
1	-0.243206	0.000000	7.445017	0.008287	1.5
2	-0.245500	0.000000	7.445017	0.010943	1.3
3	-0.250601	0.989929	7.109862	0.013701	1.3
4	-0.236866	0.149619	7.392349	0.010180	1.5
5	-0.249273	1.149619	7.058602	0.009027	1.3
6	-0.254084	2.149605	6.753694	0.006741	1.3
7	-0.236979	3.149264	6.474125	0.009401	1.3
8	-0.255200	2.332109	6.700867	0.007598	1.2
9	-0.268704	1.493095	6.950815	0.011091	1.2
10	-0.253502	2.451016	6.666890	0.008670	1.3
11	-0.253317	1.610705	6.914661	0.008351	1.3
12	-0.259242	0.770396	7.181558	0.014997	1.3
13	-0.266929	0.000000	7.445017	0.006858	1.4
14	-0.271454	0.999872	7.106648	0.012226	1.2
15	-0.279675	1.998398	6.798097	0.009798	1.3
16	-0.238609	2.998398	6.514824	0.008663	1.3
17	-0.267251	3.998398	6.254215	0.008267	1.3
18	-0.251765	4.996138	6.014176	0.008393	1.3
19	-0.270827	4.231652	6.196398	0.008791	1.3
20	-0.230618	5.231636	5.960183	0.009091	1.3
21	-0.253694	6.231635	5.741314	0.006137	1.3
22	-0.269731	5.398214	5.922573	0.010218	1.2
23	-0.252695	6.289098	5.729224	0.006371	1.3
24	-0.245811	5.451764	5.910583	0.010044	1.4
25	-0.253394	4.611460	6.104508	0.008785	1.3
26	-0.258712	3.771150	6.311590	0.012199	1.3
27	-0.265125	4.719473	6.078871	0.007646	1.4
28	-0.273616	3.918410	6.274291	0.008676	1.4
29	-0.281157	4.918035	6.032300	0.009446	1.4
30	-0.266132	4.945644	6.025881	0.012368	1.3
31	-0.243455	4.105345	6.227572	0.006961	1.4
32	-0.270214	3.295006	6.435288	0.007436	1.3
33	-0.276901	3.011054	6.511391	0.009190	1.4
34	-0.276435	2.205825	6.737332	0.010620	1.3
35	-0.252273	1.999218	6.797855	0.005217	1.3
36	-0.270047	2.520404	6.647222	0.010142	1.4
37	-0.231991	1.713178	6.883465	0.007651	1.3
38	-0.257936	0.872868	7.147913	0.011139	1.3
39	-0.249884	1.872855	6.835410	0.010530	1.4
40	-0.250134	2.872855	6.549085	0.006612	1.6
41	-0.285981	3.872854	6.285783	0.008493	1.5
42	-0.278843	4.872369	6.042947	0.007852	1.6
43	-0.266868	4.032080	6.245799	0.007006	1.3
44	-0.264804	3.206733	6.458755	0.006492	1.3
