1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
122	-0.161115	4.532354	0.743957	0.010723	1.6
123	-0.166997	4.676965	0.739767	0.021904	1.6
124	-0.126660	3.692457	0.769262	0.011944	1.6
125	-0.143375	3.408722	0.778205	0.018643	1.9
126	-0.138600	4.381655	0.748374	0.011381	1.6
127	-0.156047	3.602840	0.772064	0.014711	1.5
128	-0.160284	3.392005	0.778738	0.020750	1.5
129	-0.141983	2.407460	0.811493	0.012072	1.5
130	-0.129759	3.369878	0.779445	0.009847	1.5
131	-0.140246	4.368957	0.748749	0.015288	1.6
132	-0.149262	4.372195	0.748653	0.012642	1.5
133	-0.148031	5.188776	0.725310	0.016536	1.5
134	-0.148495	5.250010	0.723618	0.021538	1.5
135	-0.151601	4.265459	0.751816	0.015187	1.5
136	-0.128384	5.265458	0.723192	0.018107	1.4
137	-0.133859	6.265212	0.696675	0.013382	1.4
138	-0.136292	7.265040	0.672031	0.013865	1.4
139	-0.129430	8.264984	0.649068	0.014847	1.4
140	-0.131331	9.264979	0.627622	0.013022	1.5
141	-0.174334	10.264866	0.607550	0.011299	1.5
142	-0.150068	11.247315	0.589041	0.015866	1.4
143	-0.146251	10.359124	0.605724	0.014058	1.4
144	-0.137777	11.152935	0.590770	0.018917	1.6
145	-0.136664	10.171295	0.609374	0.025655	1.7
146	-0.132740	10.264522	0.607557	0.015169	1.8
147	-0.133726	11.264522	0.588726	0.007761	1.7
148	-0.143265	12.264297	0.571032	0.011412	1.5
149	-0.144068	11.286924	0.588318	0.019965	1.8
150	-0.142867	11.866476	0.577944	0.019363	2.0
151	-0.151319	12.866476	0.560879	0.015368	1.6
152	-0.142686	13.866262	0.544795	0.013760	2.5
153	-0.135411	14.720778	0.531763	0.018576	2.3
154	-0.164234	15.720778	0.517281	0.011532	1.8
155	-0.145706	16.720013	0.503578	0.018361	1.8
156	-0.144349	17.719992	0.490573	0.014027	1.8
157	-0.142516	18.519627	0.480647	0.009872	2.4
158	-0.127624	19.004660	0.474819	0.008096	2.2
159	-0.157972	18.175287	0.484871	0.012874	2.7
160	-0.151713	17.210645	0.497112	0.009417	2.8
161	-0.146024	18.016934	0.486839	0.018091	2.0
162	-0.144232	17.098004	0.498582	0.015585	1.6
163	-0.142322	18.098004	0.485830	0.012983	2.0
164	-0.123505	19.090508	0.473802	0.010813	2.0
165	-0.148002	18.438374	0.481637	0.013032	2.3
166	-0.140138	17.518720	0.493136	0.016453	2.4
167	-0.162399	18.518123	0.480665	0.014543	3.1
168	-0.169761	19.518123	0.468802	0.015596	1.9
169	-0.127210	20.362100	0.459236	0.024477	1.8
170	-0.136548	19.377549	0.470434	0.010535	2.0
171	-0.164271	18.392999	0.482192	0.017683	2.2
172	-0.156966	17.409798	0.494535	0.021290	2.4
173	-0.131234	18.406138	0.482031	0.013818	2.6
174	-0.134437	19.406135	0.470101	0.013532	3.1
175	-0.132044	20.379551	0.459043	0.018049	2.3
176	-0.137625	21.379546	0.448211	0.016096	1.7
177	-0.140039	22.379546	0.437879	0.014959	1.8
178	-0.136295	21.394996	0.448048	0.014118	2.1
179	-0.147149	20.874632	0.453615	0.009575	1.9
180	-0.137945	21.869833	0.443085	0.016126	1.9
181	-0.125306	21.109713	0.451083	0.014044	1.8
182	-0.143144	20.139651	0.461719	0.008771	1.8
183	-0.140996	21.136562	0.450796	0.015556	2.3
184	-0.142082	20.154887	0.461549	0.011320	2.0
185	-0.142042	21.154854	0.450600	0.010386	1.8
186	-0.165852	21.776455	0.444052	0.019955	2.8
187	-0.148032	21.313581	0.448910	0.011374	2.9
188	-0.139098	21.695558	0.444894	0.014734	1.8
189	-0.150151	22.669709	0.434969	0.014651	2.3
190	-0.155095	23.669708	0.425232	0.014886	1.9
191	-0.138621	23.119636	0.430533	0.016460	1.8
192	-0.158760	24.119620	0.420992	0.012896	1.5
193	-0.148785	23.168919	0.430053	0.013941	3.0
194	-0.136548	24.168520	0.420536	0.017495	2.0
195	-0.151808	25.168520	0.411427	0.010987	1.8
196	-0.129837	24.186973	0.420364	0.012050	1.5
197	-0.142521	25.186167	0.411270	0.016614	1.5
198	-0.155630	24.244787	0.419827	0.007012	1.5
199	-0.149905	25.243820	0.410757	0.017481	1.5
200	-0.146419	26.075552	0.403500	0.010349	1.4
201	-0.158032	27.074754	0.395113	0.008647	1.4
202	-0.149245	26.322495	0.401394	0.013478	1.7
203	-0.139428	27.315940	0.393141	0.020748	2.2
204	-0.137360	26.335196	0.401287	0.017691	2.3
205	-0.118780	25.476156	0.408704	0.010774	1.8
206	-0.138541	26.476133	0.400095	0.012681	1.5
207	-0.141477	27.459500	0.391976	0.015868	1.6
208	-0.136259	26.475167	0.400103	0.011784	1.6
209	-0.144901	25.531477	0.408218	0.015546	1.5
210	-0.143527	24.547080	0.417041	0.023872	1.5
211	-0.133938	25.547076	0.408081	0.013973	1.5
212	-0.151090	25.590820	0.407698	0.014288	1.5
213	-0.157431	24.720187	0.415462	0.013759	1.4
214	-0.148407	25.720184	0.406569	0.012934	1.5
