1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.299262	0.000000	435.222985	0.015016	629.2
1	-0.194904	0.044502	434.302633	0.011922	1.7
2	-0.133229	0.089004	433.386164	0.004333	1.8
3	-0.167326	0.133506	432.473556	0.005836	1.9
4	-0.091475	0.178009	431.564783	0.004853	2.4
5	-0.109180	0.222511	430.659821	0.003007	2.3
6	-0.199879	0.267013	429.758647	0.008216	2.1
7	-0.065958	0.311515	428.861236	0.002325	2.5
8	-0.058274	0.356017	427.967565	0.001601	2.5
9	-0.142500	0.400519	427.077611	0.004551	2.0
10	-0.074842	0.445022	426.191351	0.002083	2.7
11	-0.089411	0.489524	425.308761	0.007782	2.3
12	-0.143002	0.534026	424.429819	0.005472	2.1
13	-0.242220	0.578528	423.554503	0.014574	2.0
14	-0.109006	0.623030	422.682789	0.003992	1.9
15	-0.065974	0.667532	421.814657	0.001580	2.5
16	-0.055427	0.712034	420.950083	0.001586	2.3
17	-0.183116	0.756537	420.089046	0.004981	2.0
18	-0.091243	0.801039	419.231524	0.002035	2.4
19	-0.130983	0.845541	418.377496	0.007550	2.1
20	-0.139793	0.890043	417.526940	0.004119	3.0
21	-0.208795	0.934545	416.679836	0.007981	1.9
22	-0.141852	0.979047	415.836162	0.004181	2.0
23	-0.103545	1.023549	414.995898	0.002351	2.2
24	-0.105167	1.068052	414.159022	0.002015	2.2
25	-0.070266	1.112554	413.325515	0.001156	2.4
26	-0.121633	1.157056	412.495357	0.003763	1.8
27	-0.111735	1.201558	411.668526	0.002053	2.2
28	-0.102394	1.246060	410.845003	0.002126	2.1
29	-0.077082	1.290562	410.024769	0.001575	2.3
30	-0.114600	1.335065	409.207803	0.002304	2.1
31	-0.147165	1.379567	408.394086	0.004949	2.0
32	-0.101501	1.424069	407.583599	0.002595	2.2
33	-0.319079	1.468571	406.776323	0.010360	2.0
34	-0.035381	1.513073	405.972238	0.001657	2.5
35	-0.159118	1.557575	405.171326	0.003309	2.1
36	-0.262294	1.602077	404.373568	0.007441	2.0
37	-0.086131	1.646580	403.578945	0.003497	2.2
38	-0.061220	1.691082	402.787438	0.002235	2.3
39	-0.043436	1.735584	401.999031	0.001413	2.2
40	-0.080031	1.780086	401.213704	0.002893	2.3
41	-0.211009	1.824588	400.431439	0.010418	2.2
42	-0.125827	1.869090	399.652218	0.005081	2.3
43	-0.084995	1.913592	398.876025	0.002504	2.2
44	-0.209918	1.958095	398.102840	0.002738	1.9
45	-0.124465	2.002597	397.332648	0.003766	2.0
46	-0.080817	2.047099	396.565429	0.001283	2.0
47	-0.142882	2.091601	395.801168	0.004585	2.0
48	-0.099921	2.136103	395.039847	0.003593	2.3
49	-0.081957	2.180605	394.281449	0.001742	2.1
50	-0.088942	2.225108	393.525958	0.002388	2.1
51	-0.119830	2.269610	392.773356	0.005336	2.3
52	-0.117011	2.314112	392.023627	0.001789	2.3
53	-0.234752	2.358614	391.276755	0.008160	2.0
54	-0.070136	2.403116	390.532723	0.003030	2.2
55	-0.154240	2.447618	389.791516	0.002077	2.0
56	-0.090168	2.492120	389.053117	0.003523	2.3
57	-0.078219	2.536623	388.317510	0.002366	2.1
58	-0.171947	2.581125	387.584680	0.003333	1.9
59	-0.095338	2.625627	386.854610	0.002150	1.9
60	-0.097179	2.670129	386.127286	0.001999	2.0
61	-0.124300	2.714631	385.402691	0.002391	1.8
62	-0.060978	2.759133	384.680811	0.001626	1.9
63	-0.318261	2.803636	383.961630	0.012429	2.0
64	-0.130916	2.848138	383.245133	0.002876	2.4
65	-0.113125	2.892640	382.531305	0.002698	2.3
66	-0.082673	2.937142	381.820131	0.001302	2.3
67	-0.087761	2.981644	381.111597	0.001825	2.0
68	-0.100134	3.026146	380.405687	0.002421	1.9
69	-0.141256	3.070648	379.702388	0.003819	1.8
70	-0.066135	3.115151	379.001685	0.001230	2.2
71	-0.108318	3.159653	378.303562	0.002995	2.0
72	-0.195093	3.204155	377.608007	0.006386	1.8
73	-0.097993	3.248657	376.915005	0.001703	2.0
74	-0.112766	3.293159	376.224542	0.003168	1.9
75	-0.190571	3.337661	375.536604	0.005389	1.9
76	-0.142084	3.382163	374.851177	0.002737	2.2
77	-0.082694	3.426666	374.168248	0.002594	2.3
78	-0.252717	3.471168	373.487803	0.007040	2.1
79	-0.073094	3.515670	372.809828	0.003099	2.7
80	-0.120193	3.560172	372.134310	0.006644	2.2
81	-0.125766	3.604674	371.461235	0.003101	2.2
82	-0.054238	3.649176	370.790591	0.001517	2.3
83	-0.075822	3.693679	370.122365	0.004837	2.2
84	-0.145021	3.738181	369.456542	0.004673	2.1
85	-0.628286	3.782683	368.793110	0.016506	1.8
86	-0.174129	3.827185	368.132057	0.002203	1.7
87	-0.159413	3.871687	367.473370	0.003039	1.7
88	-0.156741	3.916189	366.817035	0.003660	1.9
89	-0.224400	3.960691	366.163041	0.010144	1.9
90	-0.066653	4.005194	365.511375	0.002546	2.1
91	-0.073256	4.049696	364.862024	0.001569	2.1
92	-0.286151	4.094198	364.214976	0.007161	1.9
93	-0.078501	4.138700	363.570219	0.003417	2.7
94	-0.079715	4.183202	362.927741	0.001480	2.2
95	-0.050448	4.227704	362.287530	0.001091	2.5
96	-0.129669	4.272206	361.649573	0.003841	2.2
97	-0.071872	4.316709	361.013859	0.003245	2.5
98	-0.201171	4.361211	360.380376	0.005021	2.0
99	-0.074894	4.405713	359.749113	0.000883	2.2
100	-0.068519	4.450215	359.120057	0.001734	2.4
101	-0.128230	4.494717	358.493197	0.003224	2.0
102	-0.079819	4.539219	357.868522	0.002586	2.4
103	-0.214935	4.583722	357.246020	0.004196	2.0
104	-0.115009	4.628224	356.625679	0.002977	2.1
105	-0.078860	4.672726	356.007490	0.002153	2.3
106	-0.077798	4.717228	355.391440	0.003236	2.8
107	-0.099094	4.761730	354.777518	0.001988	2.6
108	-0.190790	4.806232	354.165714	0.006671	2.1
109	-0.322854	4.850734	353.556016	0.004558	2.0
110	-0.093051	4.895237	352.948414	0.001695	2.4
111	-0.092376	4.939739	352.342897	0.003542	2.4
112	-0.100029	4.984241	351.739453	0.001728	2.5
113	-0.120576	5.028743	351.138073	0.005092	2.3
114	-0.151889	5.073245	350.538746	0.002289	2.5
115	-0.073072	5.117747	349.941462	0.001700	2.4
116	-0.133445	5.162249	349.346209	0.001697	2.3
117	-0.154068	5.206752	348.752978	0.001095	2.3
118	-0.069396	5.251254	348.161758	0.001445	3.4
119	-0.099797	5.295756	347.572540	0.002480	3.2
120	-0.056047	5.340258	346.985312	0.002254	3.5
121	-0.063890	5.384760	346.400066	0.002149	3.4
122	-0.125799	5.429262	345.816790	0.009743	2.7
123	-0.093595	5.473765	345.235475	0.000792	3.7
124	-0.240663	5.518267	344.656111	0.013213	3.3
