1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.044987	0.000000	367.013004	0.003175	809.9
1	-0.051625	0.016879	366.718250	0.001832	2.3
2	-0.083984	0.033758	366.423969	0.002215	2.1
3	-0.103435	0.050637	366.130161	0.004193	2.0
4	-0.061218	0.067516	365.836823	0.004766	2.3
5	-0.034863	0.084395	365.543954	0.001540	2.5
6	-0.028761	0.101274	365.251554	0.001682	2.6
7	-0.072692	0.118153	364.959622	0.005591	2.4
8	-0.037161	0.135032	364.668156	0.002107	2.7
9	-0.039902	0.151911	364.377155	0.002189	2.6
10	-0.054182	0.168790	364.086618	0.001900	2.6
11	-0.043129	0.185669	363.796544	0.002261	2.6
12	-0.071234	0.202548	363.506932	0.005950	2.8
13	-0.043504	0.219427	363.217781	0.002005	2.8
14	-0.048881	0.236306	362.929089	0.002786	2.4
15	-0.059892	0.253185	362.640856	0.003051	2.4
16	-0.094123	0.270064	362.353080	0.004849	2.2
17	-0.071220	0.286943	362.065761	0.004281	2.8
18	-0.139156	0.303822	361.778897	0.006481	2.2
19	-0.107054	0.320701	361.492487	0.006838	2.4
20	-0.059654	0.337580	361.206530	0.002649	2.4
21	-0.057803	0.354459	360.921026	0.001989	2.4
22	-0.033198	0.371338	360.635972	0.002004	2.3
23	-0.113693	0.388217	360.351368	0.006105	2.5
24	-0.167228	0.405095	360.067213	0.011322	2.4
25	-0.075387	0.421974	359.783506	0.002803	3.1
26	-0.072705	0.438853	359.500246	0.003414	3.1
27	-0.100241	0.455732	359.217431	0.004129	3.0
28	-0.081006	0.472611	358.935061	0.004524	3.0
29	-0.192694	0.489490	358.653135	0.008085	2.2
30	-0.143739	0.506369	358.371651	0.003947	2.7
31	-0.177381	0.523248	358.090608	0.007632	2.0
32	-0.040863	0.540127	357.810006	0.001528	2.6
33	-0.142011	0.557006	357.529843	0.006411	2.1
34	-0.083409	0.573885	357.250119	0.003829	2.7
35	-0.085180	0.590764	356.970832	0.003119	2.6
36	-0.197083	0.607643	356.691982	0.008547	2.3
37	-0.071543	0.624522	356.413567	0.003251	2.5
38	-0.153234	0.641401	356.135586	0.007087	2.3
39	-0.043715	0.658280	355.858038	0.002185	2.7
40	-0.089761	0.675159	355.580923	0.003003	2.5
41	-0.061798	0.692038	355.304238	0.001855	2.6
42	-0.076805	0.708917	355.027985	0.007750	2.1
43	-0.088930	0.725796	354.752160	0.002680	2.3
44	-0.091719	0.742675	354.476764	0.004538	2.4
45	-0.069373	0.759554	354.201794	0.002499	2.7
46	-0.087848	0.776433	353.927252	0.003904	1.9
47	-0.107236	0.793312	353.653134	0.007030	2.0
48	-0.089371	0.810191	353.379441	0.002161	2.7
49	-0.042444	0.827070	353.106171	0.000980	2.3
50	-0.062576	0.843949	352.833323	0.003734	2.5
51	-0.079878	0.860828	352.560897	0.003464	2.6
52	-0.227634	0.877707	352.288891	0.012190	2.1
53	-0.187253	0.894586	352.017304	0.008154	2.1
54	-0.112358	0.911465	351.746136	0.004646	2.1
55	-0.105609	0.928344	351.475385	0.003277	2.2
56	-0.108881	0.945223	351.205051	0.003016	2.6
57	-0.096687	0.962102	350.935132	0.004747	2.0
58	-0.065138	0.978981	350.665628	0.002782	2.3
59	-0.106701	0.995860	350.396537	0.004335	2.1
60	-0.074285	1.012739	350.127859	0.002425	2.7
61	-0.093561	1.029618	349.859593	0.004908	2.5
62	-0.102744	1.046497	349.591738	0.002559	2.1
63	-0.129550	1.063376	349.324292	0.004465	2.0
64	-0.168825	1.080255	349.057256	0.005572	2.1
65	-0.079963	1.097134	348.790627	0.001813	2.5
66	-0.035506	1.114013	348.524405	0.001486	2.0
67	-0.057940	1.130892	348.258590	0.002224	2.3
68	-0.077997	1.147771	347.993179	0.002526	2.3
69	-0.096695	1.164650	347.728173	0.005599	2.1
70	-0.059460	1.181528	347.463570	0.002145	2.7
71	-0.169473	1.198407	347.199370	0.009804	2.1
72	-0.066536	1.215286	346.935571	0.002665	2.4
73	-0.116898	1.232165	346.672172	0.004507	2.2
74	-0.072650	1.249044	346.409174	0.002194	2.5
75	-0.124010	1.265923	346.146573	0.002144	2.1
76	-0.051158	1.282802	345.884371	0.002192	2.0
77	-0.118417	1.299681	345.622566	0.005090	2.2
78	-0.146086	1.316560	345.361157	0.003806	2.3
79	-0.037255	1.333439	345.100143	0.003816	2.5
80	-0.150854	1.350318	344.839523	0.008585	2.2
81	-0.076438	1.367197	344.579296	0.002574	2.0
82	-0.091776	1.384076	344.319462	0.004643	2.4
83	-0.353447	1.400955	344.060019	0.025548	2.0
84	-0.107093	1.417834	343.800968	0.005447	2.4
85	-0.046065	1.434713	343.542305	0.001688	2.6
86	-0.111611	1.451592	343.284032	0.003288	2.2
87	-0.163941	1.468471	343.026147	0.007957	2.0
88	-0.092700	1.485350	342.768649	0.002570	2.5
89	-0.076366	1.502229	342.511538	0.004712	2.3
90	-0.076882	1.519108	342.254812	0.003176	2.6
91	-0.055579	1.535987	341.998470	0.002512	2.6
92	-0.036054	1.552866	341.742512	0.003590	2.6
93	-0.110681	1.569745	341.486937	0.004403	2.6
94	-0.055861	1.586624	341.231744	0.002658	4.3
