1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
112	-0.240923	1.331152	1856.450207	0.010824	11.5
113	-0.236810	1.343037	1855.462676	0.004744	9.6
114	-0.203910	1.354923	1854.476195	0.005344	10.3
115	-0.055235	1.366808	1853.490762	0.004410	10.0
116	-0.408121	1.378693	1852.506376	0.009740	9.8
117	-0.139466	1.390579	1851.523035	0.003726	10.3
118	-0.107445	1.402464	1850.540738	0.004262	9.2
119	-0.203241	1.414349	1849.559482	0.007370	9.9
120	-0.051441	1.426234	1848.579267	0.003258	11.0
121	-0.416920	1.438120	1847.600089	0.006483	11.5
122	-0.292627	1.450005	1846.621949	0.006859	11.9
123	-0.041529	1.461890	1845.644844	0.003833	11.6
124	-0.166238	1.473776	1844.668772	0.006547	14.1
125	-0.276930	1.485661	1843.693732	0.005319	11.8
126	-0.244259	1.497546	1842.719722	0.005034	10.1
127	-0.279333	1.509431	1841.746741	0.006623	13.8
128	-0.341900	1.521317	1840.774787	0.006166	11.3
129	-0.183127	1.533202	1839.803858	0.003714	11.6
130	-0.173170	1.545087	1838.833953	0.004902	9.1
131	-0.071766	1.556973	1837.865070	0.002756	9.5
132	-0.158876	1.568858	1836.897207	0.006168	9.7
133	-0.131149	1.580743	1835.930363	0.004447	8.3
134	-0.151169	1.592628	1834.964537	0.005093	8.3
135	-0.257976	1.604514	1833.999726	0.010606	7.8
136	-0.099969	1.616399	1833.035929	0.003813	8.1
137	-0.331914	1.628284	1832.073145	0.006449	7.6
138	-0.120652	1.640170	1831.111371	0.010368	7.0
139	-0.058446	1.652055	1830.150607	0.002597	7.3
140	-0.245257	1.663940	1829.190851	0.004608	8.5
141	-0.316964	1.675825	1828.232100	0.005896	8.4
142	-0.298129	1.687711	1827.274354	0.004510	8.7
143	-0.162429	1.699596	1826.317611	0.009570	8.9
144	-0.072247	1.711481	1825.361869	0.003342	9.6
145	-0.097880	1.723367	1824.407128	0.003677	11.1
146	-0.357747	1.735252	1823.453384	0.006373	9.4
147	-0.056259	1.747137	1822.500637	0.002650	10.3
148	-0.287736	1.759022	1821.548885	0.022472	9.5
149	-0.030582	1.770908	1820.598127	0.002973	10.0
150	-0.149945	1.782793	1819.648360	0.006205	10.3
151	-0.344211	1.794678	1818.699584	0.009794	8.6
152	-0.184105	1.806564	1817.751797	0.004538	9.9
153	-0.056421	1.818449	1816.804997	0.002431	8.5
154	-0.091502	1.830334	1815.859184	0.005841	8.1
155	-0.185867	1.842219	1814.914354	0.004462	7.1
156	-0.258615	1.854105	1813.970507	0.012225	8.5
157	-0.059641	1.865990	1813.027641	0.003044	8.3
158	-0.139219	1.877875	1812.085755	0.005560	7.1
159	-0.137410	1.889761	1811.144847	0.004053	7.5
160	-0.058568	1.901646	1810.204915	0.003645	7.8
161	-0.127123	1.913531	1809.265959	0.004252	7.2
162	-0.124553	1.925416	1808.327976	0.007285	7.3
163	-0.063225	1.937302	1807.390966	0.003366	6.3
164	-0.131517	1.949187	1806.454926	0.004231	7.8
165	-0.043711	1.961072	1805.519854	0.003342	8.5
166	-0.066229	1.972958	1804.585751	0.002188	9.5
167	-0.077503	1.984843	1803.652613	0.002889	9.1
168	-0.051537	1.996728	1802.720440	0.003345	11.1
169	-0.187783	2.008613	1801.789230	0.003833	10.0
170	-0.263067	2.020499	1800.858982	0.007217	10.0
171	-0.063010	2.032384	1799.929694	0.002615	11.3
172	-0.043124	2.044269	1799.001364	0.002400	9.3
173	-0.169317	2.056155	1798.073991	0.003350	10.3
174	-0.167373	2.068040	1797.147574	0.004348	10.9
