1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.147399	0.000000	386.900038	0.004341	740.2
1	-0.098164	0.139121	384.353776	0.002118	2.4
2	-0.064539	0.278241	381.840809	0.001723	2.4
3	-0.205705	0.417362	379.360489	0.006075	2.3
4	-0.130875	0.556482	376.912184	0.003808	2.2
5	-0.181337	0.695603	374.495278	0.003809	2.0
6	-0.085578	0.834723	372.109171	0.001920	2.3
7	-0.113223	0.973844	369.753278	0.002834	2.2
8	-0.187862	1.112964	367.427028	0.006581	2.0
9	-0.131310	1.252085	365.129865	0.002146	2.1
10	-0.159895	1.391206	362.861248	0.001287	1.9
11	-0.089117	1.530326	360.620648	0.001657	2.2
12	-0.216051	1.669447	358.407548	0.002836	1.9
13	-0.227873	1.808567	356.221446	0.003937	1.8
14	-0.070838	1.947688	354.061851	0.001834	2.1
15	-0.120824	2.086808	351.928282	0.001610	2.2
16	-0.117945	2.225929	349.820274	0.005573	2.2
17	-0.203681	2.365049	347.737368	0.002097	2.2
18	-0.204973	2.504170	345.679120	0.003733	2.3
19	-0.159575	2.643291	343.645094	0.002669	1.8
20	-0.188676	2.782411	341.634865	0.006284	2.1
21	-0.101275	2.921532	339.648017	0.001549	2.2
22	-0.093036	3.060652	337.684146	0.004308	2.3
23	-0.114859	3.199773	335.742855	0.005101	2.2
24	-0.165908	3.338893	333.823757	0.003790	2.5
25	-0.134195	3.478014	331.926473	0.003914	2.2
26	-0.297846	3.617134	330.050633	0.008218	1.9
27	-0.159164	3.756255	328.195876	0.008149	2.1
28	-0.100432	3.895376	326.361849	0.001202	2.7
29	-0.141424	4.034496	324.548206	0.001972	2.3
30	-0.149970	4.173617	322.754609	0.001883	2.6
31	-0.208779	4.312737	320.980728	0.003573	2.5
32	-0.109405	4.451858	319.226238	0.001955	2.2
33	-0.103082	4.590978	317.490824	0.002207	2.6
34	-0.312922	4.730099	315.774177	0.008824	2.3
35	-0.112939	4.869219	314.075994	0.004344	2.6
36	-0.119930	5.008340	312.395978	0.001054	2.5
37	-0.130357	5.147461	310.733839	0.001602	2.6
38	-0.284586	5.286581	309.089295	0.010168	2.0
39	-0.220924	5.425702	307.462065	0.003402	1.9
40	-0.129414	5.564822	305.851880	0.004015	1.7
41	-0.188314	5.703943	304.258471	0.005964	2.1
42	-0.155783	5.843063	302.681580	0.004941	1.8
43	-0.175812	5.982184	301.120949	0.002551	1.8
44	-0.094539	6.121304	299.576329	0.002469	1.8
45	-0.279439	6.260425	298.047474	0.007813	1.9
46	-0.164174	6.399546	296.534145	0.002687	1.9
47	-0.113254	6.538666	295.036106	0.001393	2.3
48	-0.136183	6.677787	293.553127	0.003111	2.0
49	-0.115024	6.816907	292.084981	0.003124	2.2
50	-0.105524	6.956028	290.631447	0.002525	1.8
51	-0.195760	7.095148	289.192309	0.002405	1.9
52	-0.087914	7.234269	287.767353	0.000800	2.1
53	-0.281800	7.373389	286.356370	0.004240	1.8
54	-0.313142	7.512510	284.959157	0.002546	1.7
55	-0.081464	7.651630	283.575512	0.001743	2.0
56	-0.133156	7.790751	282.205240	0.001842	2.0
57	-0.158902	7.929872	280.848146	0.003148	1.9
58	-0.229327	8.068992	279.504042	0.008650	1.7
59	-0.077988	8.208113	278.172742	0.003093	2.3
60	-0.142361	8.347233	276.854064	0.005913	2.2
61	-0.145059	8.486354	275.547830	0.003149	2.3
62	-0.073138	8.625474	274.253863	0.003933	2.2
63	-0.185733	8.764595	272.971993	0.006892	2.0
64	-0.100187	8.903715	271.702050	0.001841	2.1
65	-0.423188	9.042836	270.443868	0.007428	1.8
66	-0.100847	9.181957	269.197286	0.001089	2.5
67	-0.115608	9.321077	267.962143	0.003798	2.1
68	-0.387839	9.460198	266.738282	0.017033	1.8
69	-0.183359	9.599318	265.525550	0.004316	2.0
70	-0.145619	9.738439	264.323795	0.004515	2.0
71	-0.116571	9.877559	263.132869	0.002074	2.1
72	-0.215372	10.016680	261.952627	0.007010	1.8
73	-0.139670	10.155800	260.782926	0.002886	2.2
74	-0.181346	10.294921	259.623624	0.001608	2.0
75	-0.222636	10.434042	258.474583	0.005302	2.0
76	-0.094270	10.573162	257.335669	0.006842	2.4
77	-0.120796	10.712283	256.206747	0.002581	2.0
78	-0.173117	10.851403	255.087687	0.001338	1.9
79	-0.064662	10.990524	253.978361	0.000645	2.5
80	-0.164107	11.129644	252.878641	0.008085	2.1
81	-0.157868	11.268765	251.788403	0.003862	2.0
82	-0.293217	11.407885	250.707526	0.004535	1.8
83	-0.158532	11.547006	249.635889	0.004458	2.0
84	-0.081031	11.686127	248.573375	0.001553	2.3
85	-0.154165	11.825247	247.519867	0.003124	2.1
86	-0.121036	11.964368	246.475251	0.003377	1.9
87	-0.240672	12.103488	245.439415	0.007284	1.9
88	-0.152932	12.242609	244.412250	0.001099	2.5
89	-0.175056	12.381729	243.393645	0.004903	1.9
90	-0.186904	12.520850	242.383496	0.001871	1.8
91	-0.103226	12.659970	241.381697	0.001819	1.9
92	-0.497771	12.799091	240.388145	0.015143	1.7
93	-0.084235	12.938212	239.402739	0.003394	2.0
94	-0.111708	13.077332	238.425378	0.002758	2.4
95	-0.103687	13.216453	237.455965	0.004887	2.4
96	-0.487576	13.355573	236.494404	0.007179	1.9
97	-0.114760	13.494694	235.540598	0.004448	2.1
98	-0.075044	13.633814	234.594455	0.002225	2.3
99	-0.194621	13.772935	233.655883	0.006090	1.8
100	-0.076185	13.912055	232.724791	0.002050	2.0
101	-0.152416	14.051176	231.801090	0.001659	1.7
