1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.115841	-0.129078	0.000002	0.000000	1478.072418	0.001240	0.000000	0.001718	5.5	7.1	2065.0
1	-0.119032	-0.130333	0.000002	0.000000	1478.072418	0.001001	0.000000	0.001382	6.3	7.4	14.5
2	-0.117535	-0.127963	0.000002	0.000000	1478.072418	0.001179	0.000000	0.001113	6.0	8.1	14.8
3	-0.123066	-0.133250	0.000002	0.000000	1478.072418	0.001144	0.000000	0.001126	5.6	8.1	14.5
4	-0.122385	-0.132158	0.000002	0.000000	1478.072418	0.001665	0.000000	0.001347	6.3	8.5	15.6
5	-0.117095	-0.127401	0.000002	0.000000	1478.072418	0.000881	0.000000	0.001139	6.0	8.3	15.0
6	-0.129798	-0.139392	0.000002	1.000000	1410.887308	0.001183	0.000000	0.001263	6.2	8.4	15.4
7	-0.130537	-0.139765	0.000002	1.041554	1408.227410	0.001138	0.000000	0.001329	6.3	8.3	15.4
8	-0.125857	-0.134561	0.000001	0.638083	1434.485682	0.001204	0.000000	0.001139	6.8	8.7	16.2
9	-0.121706	-0.130271	0.000001	0.234612	1461.741808	0.001371	0.000000	0.001182	8.0	7.9	16.7
10	-0.123375	-0.132192	0.000001	1.234553	1396.003826	0.001220	0.000000	0.001090	7.4	9.1	17.4
11	-0.129846	-0.138585	0.000001	0.865715	1419.552050	0.001062	0.000000	0.001220	7.5	8.3	16.7
12	-0.127563	-0.135824	0.000001	1.862445	1357.664104	0.000962	0.000000	0.001140	6.6	6.8	14.2
13	-0.136327	-0.144123	0.000001	1.458974	1382.054261	0.001025	0.000000	0.001129	7.1	9.5	17.4
14	-0.134735	-0.142250	0.000001	1.059315	1407.093572	0.000917	0.000000	0.000974	7.9	9.0	17.8
15	-0.124628	-0.132057	0.000001	2.059294	1346.074213	0.000904	0.000000	0.001007	8.6	10.3	19.9
16	-0.129512	-0.136527	0.000001	3.019010	1292.289765	0.001557	0.000000	0.001434	8.7	10.7	20.4
17	-0.126825	-0.134105	0.000001	4.018033	1240.685899	0.001125	0.000000	0.000863	8.6	10.8	20.3
18	-0.126904	-0.134280	0.000001	3.690863	1257.125769	0.001175	0.000000	0.001273	7.7	10.3	18.9
19	-0.125731	-0.132890	0.000001	3.688261	1257.258299	0.001891	0.000000	0.001643	8.0	9.0	17.9
20	-0.132799	-0.140381	0.000001	3.284790	1278.146566	0.001382	0.000000	0.001348	7.1	9.0	17.1
21	-0.130269	-0.137839	0.000001	4.284789	1227.596593	0.000825	0.000000	0.000999	7.0	8.8	16.7
22	-0.127281	-0.134469	0.000001	5.284789	1180.892909	0.001088	0.000000	0.001036	5.9	8.1	14.8
23	-0.134151	-0.141154	0.000001	6.279720	1137.824015	0.000821	0.000000	0.000827	5.9	8.2	14.9
24	-0.126793	-0.133617	0.000001	6.575512	1125.619010	0.001424	0.000000	0.001597	6.1	8.4	15.2
25	-0.130219	-0.136703	0.000001	6.172041	1142.333048	0.000784	0.000000	0.000866	6.8	9.4	16.9
26	-0.121890	-0.128127	0.000001	5.768570	1159.550934	0.000900	0.000000	0.000830	6.7	9.0	16.4
27	-0.139898	-0.146299	0.000001	5.462947	1172.942728	0.001034	0.000000	0.001032	8.0	11.6	20.4
28	-0.130315	-0.136503	0.000001	5.082054	1190.071967	0.001268	0.000000	0.001075	8.8	10.4	20.1
29	-0.136048	-0.142516	0.000001	4.802311	1202.974443	0.001342	0.000000	0.001340	8.5	12.1	22.4
30	-0.125792	-0.132312	0.000001	5.802198	1158.096080	0.000746	0.000000	0.000724	7.7	9.3	17.9
31	-0.121479	-0.127706	0.000001	6.801931	1116.451986	0.001221	0.000000	0.001116	5.9	8.2	15.0
32	-0.141465	-0.147606	0.000001	7.800028	1077.760097	0.001278	0.000000	0.001295	5.9	8.8	15.4
33	-0.135555	-0.141680	0.000001	8.800028	1041.593694	0.000976	0.000000	0.000766	6.1	8.8	15.8
34	-0.133540	-0.139765	0.000001	9.528438	1016.741197	0.001118	0.000000	0.000842	5.8	9.0	15.6
35	-0.131532	-0.137870	0.000001	10.377611	989.225121	0.001526	0.000000	0.001471	6.0	9.0	15.9
36	-0.113840	-0.120130	0.000001	10.046996	999.759229	0.001270	0.000000	0.001321	6.1	9.1	16.2
37	-0.124897	-0.131040	0.000001	11.046996	968.562569	0.000830	0.000000	0.000671	6.6	8.7	16.1
38	-0.132330	-0.138414	0.000001	11.846925	944.974922	0.001191	0.000000	0.001073	6.6	9.0	16.3
39	-0.132772	-0.138848	0.000001	12.358906	930.471774	0.001039	0.000000	0.000831	6.2	10.0	17.1
40	-0.113296	-0.119309	0.000001	12.036487	939.552693	0.000912	0.000000	0.000778	6.8	9.2	17.0
41	-0.127341	-0.133530	0.000001	12.998691	912.962227	0.001373	0.000000	0.001228	6.9	9.8	17.6
