1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.025479	-0.053639	0.000005	0.000000	166.660162	0.002972	0.000001	0.008410	7.1	9.5	2998.9
1	-0.029633	-0.052077	0.000004	0.000000	166.660162	0.002983	0.000001	0.007229	6.9	10.1	18.0
2	-0.036341	-0.054248	0.000003	0.000000	166.660162	0.002931	0.000001	0.006272	7.0	10.1	18.3
3	-0.034072	-0.051568	0.000003	0.000000	166.660162	0.002546	0.000001	0.005973	7.8	9.9	18.8
4	-0.043120	-0.056997	0.000002	0.000000	166.660162	0.002876	0.000001	0.005441	7.4	9.8	18.4
5	-0.044943	-0.057097	0.000002	0.000000	166.660162	0.003350	0.000001	0.005419	8.1	8.4	17.6
6	-0.045439	-0.056556	0.000002	0.000000	166.660162	0.002724	0.000001	0.004944	6.8	9.4	17.3
7	-0.042270	-0.052327	0.000002	0.000000	166.660162	0.002734	0.000001	0.004644	7.3	9.8	18.2
8	-0.042654	-0.051464	0.000001	0.000000	166.660162	0.002820	0.000001	0.004636	7.6	9.8	18.6
9	-0.042596	-0.051425	0.000001	0.000000	166.660162	0.002999	0.000001	0.004569	6.9	9.8	17.9
10	-0.039185	-0.047494	0.000001	0.000000	166.660162	0.002657	0.000001	0.004278	7.0	9.0	17.2
11	-0.036157	-0.043952	0.000001	0.000000	166.660162	0.002680	0.000001	0.004227	8.3	10.7	20.2
12	-0.036886	-0.043748	0.000001	0.000000	166.660162	0.002385	0.000001	0.003828	9.0	12.7	22.9
13	-0.039989	-0.046810	0.000001	0.003431	166.632937	0.003307	0.000000	0.004353	9.0	11.2	21.5
14	-0.061605	-0.068201	0.000001	0.003275	166.634172	0.003055	0.000000	0.004270	9.3	13.1	23.6
15	-0.042522	-0.048937	0.000001	0.015930	166.533833	0.002846	0.000000	0.004065	7.9	11.1	20.1
16	-0.047140	-0.053237	0.000001	0.021959	166.486073	0.002705	0.000000	0.003963	8.8	9.9	19.9
17	-0.050281	-0.056320	0.000001	0.024862	166.463086	0.003333	0.000000	0.004387	7.7	10.3	19.1
18	-0.043065	-0.049199	0.000001	0.034287	166.388499	0.002553	0.000000	0.003923	8.0	10.6	19.8
19	-0.049711	-0.054872	0.000001	0.049950	166.264691	0.002416	0.000000	0.003680	7.7	9.4	18.3
20	-0.055260	-0.060573	0.000001	0.055099	166.224030	0.003104	0.000000	0.004004	8.0	9.7	18.8
21	-0.050296	-0.055434	0.000001	0.060865	166.178520	0.003048	0.000000	0.004058	7.4	10.0	18.6
22	-0.047966	-0.052957	0.000001	0.074189	166.073459	0.002950	0.000000	0.004046	9.7	12.4	23.4
23	-0.047816	-0.052890	0.000001	0.086781	165.974282	0.002861	0.000000	0.003971	9.2	11.6	22.1
24	-0.060574	-0.065320	0.000001	0.103494	165.842843	0.003047	0.000000	0.004028	8.7	13.9	23.8
25	-0.047155	-0.051721	0.000001	0.110712	165.786134	0.003287	0.000000	0.004234	10.2	12.8	24.3
26	-0.059286	-0.064017	0.000001	0.124351	165.679100	0.002740	0.000000	0.003791	10.5	10.8	22.7
27	-0.045074	-0.049597	0.000001	0.139286	165.562043	0.002892	0.000000	0.003925	8.5	10.6	20.5
28	-0.046588	-0.050722	0.000001	0.152032	165.462282	0.003257	0.000000	0.004146	8.2	10.7	20.2
29	-0.066366	-0.070957	0.000001	0.162138	165.383260	0.003247	0.000000	0.004131	8.3	12.1	21.5
30	-0.054123	-0.058295	0.000001	0.180712	165.238231	0.003378	0.000000	0.004177	8.4	10.0	19.5
31	-0.051972	-0.056353	0.000001	0.195827	165.120400	0.003054	0.000000	0.003890	10.0	11.9	23.1
32	-0.053333	-0.057452	0.000001	0.205952	165.041562	0.002549	0.000000	0.003619	10.2	11.6	23.3
33	-0.057373	-0.061248	0.000001	0.221432	164.921174	0.002980	0.000000	0.003798	9.7	11.6	22.7
34	-0.055202	-0.059134	0.000001	0.229338	164.859749	0.003117	0.000000	0.003963	10.2	12.6	24.3
35	-0.046866	-0.050517	0.000001	0.248250	164.713018	0.002784	0.000000	0.003627	8.2	11.5	21.6
36	-0.050099	-0.053927	0.000001	0.264064	164.590519	0.002609	0.000000	0.003461	8.4	10.3	19.8
37	-0.051594	-0.055357	0.000001	0.275801	164.499721	0.003025	0.000000	0.003818	7.3	10.2	18.8
38	-0.044206	-0.047840	0.000001	0.288010	164.405384	0.003074	0.000000	0.003942	7.6	10.5	19.3
39	-0.057934	-0.061631	0.000001	0.305278	164.272134	0.003151	0.000000	0.003985	8.2	10.2	19.5
40	-0.049185	-0.053051	0.000001	0.322642	164.138357	0.002482	0.000000	0.003501	7.3	12.3	20.8
41	-0.056953	-0.060901	0.000001	0.339771	164.006609	0.002744	0.000000	0.003598	8.4	10.3	20.1
42	-0.056434	-0.060121	0.000001	0.348577	163.938955	0.003162	0.000000	0.003946	8.9	12.9	23.7
43	-0.048395	-0.051806	0.000001	0.361912	163.836614	0.002789	0.000000	0.003703	9.7	13.2	24.5
44	-0.050572	-0.054121	0.000001	0.382321	163.680238	0.002941	0.000000	0.003801	9.5	11.9	22.6
45	-0.048969	-0.052297	0.000001	0.399499	163.548845	0.002694	0.000000	0.003513	7.6	10.7	19.7
46	-0.052493	-0.055875	0.000001	0.414471	163.434503	0.002906	0.000000	0.003712	7.8	10.2	19.1
47	-0.048111	-0.051644	0.000001	0.428557	163.327070	0.003263	0.000000	0.004076	7.8	10.5	19.4
48	-0.058233	-0.061635	0.000001	0.446014	163.194125	0.003093	0.000000	0.004003	7.5	10.7	19.3
49	-0.048717	-0.052134	0.000001	0.470466	163.008263	0.002920	0.000000	0.003652	8.0	10.6	19.8
50	-0.051326	-0.054778	0.000001	0.486350	162.887759	0.003021	0.000000	0.003745	6.8	11.3	19.2
51	-0.060624	-0.063881	0.000001	0.494068	162.829271	0.003391	0.000000	0.004040	8.8	10.7	20.6
52	-0.057865	-0.061342	0.000001	0.509951	162.709039	0.002885	0.000000	0.003738	9.3	12.2	22.7
53	-0.050778	-0.054056	0.000001	0.531986	162.542529	0.002837	0.000000	0.003711	9.8	13.7	24.7
54	-0.052282	-0.055528	0.000001	0.545507	162.440522	0.002668	0.000000	0.003574	9.0	14.0	24.3
55	-0.068751	-0.071853	0.000001	0.554506	162.372700	0.003103	0.000000	0.003794	10.7	12.4	24.3
56	-0.046027	-0.049112	0.000001	0.566471	162.282619	0.002634	0.000000	0.003458	7.9	10.3	19.3
57	-0.057377	-0.060601	0.000001	0.581208	162.171799	0.003139	0.000000	0.003855	7.4	9.4	18.0
58	-0.052039	-0.055085	0.000001	0.591656	162.093328	0.003389	0.000000	0.004030	8.1	10.6	19.8
59	-0.047458	-0.050713	0.000001	0.606369	161.982953	0.002878	0.000000	0.003762	7.6	9.6	18.3
60	-0.048121	-0.051355	0.000001	0.625704	161.838128	0.002772	0.000000	0.003540	7.8	10.5	19.6
61	-0.051939	-0.055021	0.000001	0.634605	161.771538	0.003171	0.000000	0.003906	8.5	11.6	21.3
62	-0.048238	-0.051347	0.000001	0.645524	161.689934	0.003105	0.000000	0.003892	9.7	12.4	23.5
63	-0.048889	-0.051871	0.000000	0.662384	161.564092	0.002768	0.000000	0.003591	10.4	10.9	22.4
64	-0.066666	-0.069732	0.000001	0.675696	161.464868	0.004084	0.000000	0.004610	9.5	12.1	23.4
65	-0.058994	-0.062187	0.000001	0.685055	161.395181	0.002681	0.000000	0.003541	8.6	10.5	20.3
66	-0.041868	-0.045057	0.000001	0.708585	161.220248	0.002986	0.000000	0.003812	9.4	10.7	21.5
67	-0.046182	-0.049201	0.000001	0.716559	161.161046	0.003753	0.000000	0.004303	7.7	10.1	19.4
68	-0.059508	-0.062549	0.000001	0.739043	160.994367	0.002593	0.000000	0.003663	6.9	10.7	18.7
69	-0.049316	-0.052294	0.000000	0.770869	160.759016	0.003045	0.000000	0.003803	9.0	10.7	20.8
70	-0.058666	-0.061555	0.000000	0.785293	160.652572	0.002929	0.000000	0.003593	8.5	10.2	19.9
71	-0.058121	-0.060964	0.000000	0.798197	160.557469	0.003193	0.000000	0.003937	8.4	13.0	22.9
72	-0.052197	-0.055257	0.000001	0.811713	160.457978	0.002708	0.000000	0.003489	8.5	12.0	21.7
73	-0.063699	-0.066672	0.000000	0.827409	160.342596	0.003251	0.000000	0.003911	9.8	11.1	22.0
74	-0.061828	-0.064793	0.000000	0.838426	160.261706	0.003687	0.000000	0.004398	8.9	11.8	22.0
75	-0.045590	-0.048606	0.000001	0.861079	160.095640	0.002694	0.000000	0.003596	8.7	12.7	22.8
76	-0.046246	-0.049253	0.000001	0.883172	159.934011	0.003006	0.000000	0.003835	12.1	11.1	24.4
77	-0.056431	-0.059086	0.000000	0.895957	159.840623	0.003060	0.000000	0.003664	8.1	10.4	19.9
78	-0.053414	-0.056272	0.000000	0.909847	159.739288	0.002684	0.000000	0.003465	7.8	10.7	19.8
79	-0.054487	-0.057412	0.000000	0.925608	159.624464	0.003272	0.000000	0.003974	9.1	10.9	21.3
80	-0.043402	-0.046279	0.000000	0.939820	159.521066	0.002675	0.000000	0.003406	11.4	13.0	26.1
81	-0.054541	-0.057361	0.000000	0.957845	159.390114	0.002887	0.000000	0.003692	12.7	15.2	29.9
82	-0.061366	-0.064146	0.000000	0.970743	159.296545	0.003428	0.000000	0.003934	10.2	14.1	26.7
83	-0.054575	-0.057577	0.000001	0.988393	159.168677	0.002965	0.000000	0.003837	11.1	14.3	27.2
84	-0.057657	-0.060422	0.000000	1.009406	159.016714	0.003441	0.000000	0.004132	10.1	12.7	24.2
85	-0.053321	-0.056003	0.000000	1.022853	158.919620	0.003061	0.000000	0.003807	8.0	11.9	21.5
86	-0.046878	-0.049779	0.000000	1.042958	158.774671	0.003720	0.000000	0.004317	8.8	11.0	21.4
87	-0.061385	-0.064207	0.000000	1.056069	158.680286	0.003202	0.000000	0.003910	9.6	11.3	22.8
88	-0.053241	-0.056240	0.000000	1.080901	158.501840	0.002798	0.000000	0.003742	8.9	11.3	21.7
89	-0.063946	-0.066705	0.000000	1.096922	158.386921	0.002823	0.000000	0.003556	8.2	13.7	23.7
90	-0.062943	-0.065692	0.000000	1.102598	158.346245	0.003390	0.000000	0.004089	11.5	14.6	28.1
91	-0.064626	-0.067308	0.000000	1.118726	158.230785	0.002965	0.000000	0.003792	10.1	12.5	24.6
92	-0.050922	-0.053638	0.000000	1.139177	158.084618	0.002948	0.000000	0.003658	11.8	12.1	25.2
93	-0.053588	-0.056293	0.000000	1.155381	157.969000	0.002897	0.000000	0.003587	8.2	10.8	20.2
94	-0.063399	-0.066133	0.000000	1.166177	157.892059	0.003163	0.000000	0.003691	8.9	9.7	20.1
95	-0.053294	-0.056022	0.000000	1.176962	157.815278	0.003059	0.000000	0.003821	10.0	10.9	22.2
96	-0.045677	-0.048379	0.000000	1.192825	157.702473	0.002842	0.000000	0.003567	8.7	10.6	20.5
97	-0.048556	-0.051109	0.000000	1.211164	157.572261	0.003254	0.000000	0.003848	9.1	12.4	22.7
98	-0.045085	-0.047692	0.000000	1.221061	157.502080	0.002963	0.000000	0.003592	8.2	11.0	20.4
99	-0.045341	-0.047946	0.000000	1.239169	157.373839	0.002818	0.000000	0.003671	8.8	13.2	23.3
100	-0.053532	-0.056058	0.000000	1.253019	157.275890	0.002770	0.000000	0.003460	10.9	14.4	26.7
101	-0.048117	-0.050650	0.000000	1.265981	157.184331	0.002671	0.000000	0.003386	10.1	13.5	24.9
102	-0.055332	-0.057973	0.000000	1.278230	157.097910	0.003147	0.000000	0.003851	10.1	13.2	24.5
103	-0.048611	-0.051281	0.000000	1.294084	156.986193	0.002871	0.000000	0.003549	8.5	12.1	21.8
104	-0.052400	-0.054930	0.000000	1.310747	156.868946	0.003172	0.000000	0.003775	9.2	10.8	21.2
105	-0.059677	-0.062231	0.000000	1.324530	156.772098	0.002717	0.000000	0.003433	9.0	10.0	20.2
106	-0.041889	-0.044421	0.000000	1.340353	156.661063	0.002508	0.000000	0.003320	7.8	10.0	19.1
107	-0.054572	-0.057001	0.000000	1.353744	156.567216	0.003058	0.000000	0.003687	8.0	10.6	19.7
108	-0.053945	-0.056402	0.000000	1.367501	156.470921	0.003167	0.000000	0.003796	7.7	11.4	20.2
109	-0.045140	-0.047622	0.000000	1.386540	156.337841	0.002695	0.000000	0.003376	9.5	11.3	22.0
