1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.091566	-0.100367	0.000001	0.000000	1092.580416	0.001401	0.000000	0.001901	6.0	7.0	2139.7
1	-0.087672	-0.095181	0.000001	0.000000	1092.580416	0.001314	0.000000	0.001750	6.1	8.1	15.0
2	-0.074867	-0.081659	0.000001	0.000000	1092.580416	0.001723	0.000000	0.001964	6.1	8.2	15.3
3	-0.088866	-0.095441	0.000001	0.000000	1092.580416	0.001530	0.000000	0.001891	5.6	8.3	14.7
4	-0.085569	-0.091743	0.000001	1.000000	1042.917670	0.001112	0.000000	0.001513	6.2	7.9	14.9
5	-0.080517	-0.086141	0.000001	2.000000	997.573423	0.001480	0.000000	0.001551	6.0	8.3	15.1
6	-0.084143	-0.089728	0.000001	1.949988	999.747298	0.001310	0.000000	0.001561	6.5	8.0	15.3
7	-0.080672	-0.085942	0.000001	2.949984	958.004364	0.001941	0.000000	0.001991	6.0	8.1	14.8
8	-0.072538	-0.077985	0.000001	2.899375	960.032997	0.001315	0.000000	0.001764	6.3	8.6	15.7
9	-0.084379	-0.089232	0.000001	3.899375	921.476487	0.001504	0.000000	0.001577	6.3	7.9	15.2
10	-0.081781	-0.086587	0.000001	3.848463	923.364509	0.001474	0.000000	0.001375	6.0	8.1	15.1
11	-0.083454	-0.088294	0.000001	3.797551	925.260284	0.001497	0.000000	0.001530	6.0	7.8	14.9
12	-0.072313	-0.077057	0.000001	3.746837	927.156408	0.001637	0.000000	0.001720	6.1	8.5	15.3
13	-0.075367	-0.080072	0.000001	3.743661	927.275425	0.001652	0.000000	0.001765	5.4	10.2	16.3
14	-0.073774	-0.078290	0.000001	4.743661	891.255862	0.001227	0.000000	0.001302	6.7	8.9	16.4
15	-0.086049	-0.090221	0.000001	4.745583	891.189330	0.001485	0.000000	0.001561	6.7	8.7	16.3
16	-0.087773	-0.091830	0.000001	5.745582	857.868365	0.001477	0.000000	0.001552	6.5	10.5	18.0
17	-0.078590	-0.082727	0.000001	5.694670	859.504482	0.001362	0.000000	0.001292	8.9	9.5	19.4
18	-0.090951	-0.095063	0.000001	6.694483	828.475083	0.002218	0.000000	0.002076	7.9	9.0	17.8
19	-0.084062	-0.088757	0.000001	6.643571	830.000907	0.001488	0.000000	0.001919	8.2	9.2	18.3
20	-0.102800	-0.106727	0.000001	7.643571	801.024041	0.001879	0.000000	0.001948	8.7	9.2	19.2
21	-0.104278	-0.108237	0.000001	7.592658	802.450349	0.002239	0.000000	0.002259	6.1	8.9	15.8
22	-0.084559	-0.088878	0.000001	8.592658	775.333815	0.001802	0.000000	0.001871	6.4	8.9	16.2
