1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
252	-0.250820	7.373865	55.392383	0.002480	2.7
253	-0.237153	8.349740	53.550593	0.001907	3.1
254	-0.245729	8.394083	53.469807	0.002068	2.7
255	-0.249311	8.414960	53.431857	0.003473	2.7
256	-0.223505	8.275089	53.687145	0.001874	2.8
257	-0.260444	9.161198	52.109865	0.002988	3.0
258	-0.245390	9.585114	51.387612	0.001801	2.9
259	-0.223707	10.487450	49.914997	0.002678	2.8
260	-0.234422	10.991843	49.128021	0.002900	2.8
261	-0.243592	11.662089	48.119885	0.001749	2.8
262	-0.234499	10.763611	49.481022	0.005297	3.0
263	-0.226518	11.761113	47.974438	0.003756	2.9
264	-0.222466	12.761109	46.553445	0.002282	2.9
265	-0.227988	12.497648	46.919591	0.005617	3.0
266	-0.210737	13.495827	45.561916	0.002899	2.9
267	-0.246975	14.495826	44.278332	0.002539	2.7
268	-0.226616	13.610718	45.410672	0.001693	2.6
269	-0.247375	13.385786	45.707723	0.002861	2.8
270	-0.237522	13.058965	46.146321	0.002411	2.9
271	-0.242234	13.820887	45.136586	0.003659	2.9
272	-0.221129	13.021768	46.196774	0.003424	2.9
273	-0.246736	14.021768	44.877687	0.003315	2.9
274	-0.261355	15.020237	43.633693	0.004962	2.9
275	-0.270998	16.020237	42.455049	0.002762	2.8
276	-0.260504	17.019184	41.339550	0.002527	3.1
277	-0.236829	18.017911	40.281396	0.003827	2.6
278	-0.233109	18.798025	39.491808	0.002251	2.8
279	-0.231386	17.920537	40.382176	0.002652	2.7
280	-0.228339	18.842813	39.447414	0.002654	3.0
281	-0.230412	19.841691	38.482637	0.002000	2.7
282	-0.222698	20.837905	37.566316	0.002996	2.7
283	-0.238883	21.830085	36.696074	0.003010	2.8
284	-0.229432	22.322856	36.278678	0.003120	2.8
285	-0.270349	23.303333	35.475795	0.002594	2.9
286	-0.262256	22.861838	35.832879	0.004082	2.8
287	-0.225800	22.902222	35.799918	0.001310	3.4
288	-0.226252	23.292358	35.484586	0.001877	3.0
289	-0.223713	22.772681	35.905864	0.001882	2.8
290	-0.232485	22.255099	36.335507	0.002676	2.7
