1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.064713	-0.071161	0.000001	0.000000	462.357304	0.002643	0.000000	0.003073	5.6	8.3	2327.1
1	-0.050589	-0.056770	0.000001	0.000000	462.357304	0.002373	0.000000	0.002994	6.3	8.4	15.6
2	-0.052364	-0.058118	0.000001	0.958257	442.180056	0.001897	0.000000	0.002451	6.2	8.2	15.4
3	-0.058569	-0.063910	0.000001	1.902680	423.946170	0.002294	0.000000	0.002737	6.6	7.1	14.6
4	-0.068188	-0.073142	0.000001	1.897393	424.044058	0.002269	0.000000	0.002640	6.3	8.3	15.4
5	-0.062594	-0.067592	0.000001	2.869322	406.777509	0.002696	0.000000	0.002862	6.2	8.4	15.4
6	-0.058864	-0.063732	0.000001	2.990658	404.720171	0.002125	0.000000	0.002787	6.3	8.3	15.5
7	-0.065708	-0.070159	0.000001	3.985084	388.612000	0.002062	0.000000	0.002434	6.4	8.3	15.6
8	-0.058222	-0.062853	0.000001	4.936110	374.362361	0.002250	0.000000	0.002689	6.3	8.5	15.7
9	-0.071845	-0.076132	0.000001	5.219030	370.322746	0.002416	0.000000	0.002599	6.2	8.2	15.3
10	-0.073062	-0.077478	0.000001	6.030701	359.202801	0.002800	0.000000	0.003123	6.0	8.1	15.0
11	-0.064108	-0.068427	0.000001	6.972066	347.114271	0.002397	0.000000	0.002692	6.1	8.6	15.7
12	-0.063826	-0.068055	0.000001	7.747428	337.752072	0.002549	0.000000	0.002771	6.2	8.2	15.5
13	-0.062710	-0.066940	0.000001	8.318692	331.171092	0.002770	0.000000	0.003153	7.7	10.0	18.6
14	-0.059815	-0.063988	0.000001	9.314022	320.297434	0.002177	0.000000	0.002502	6.6	9.6	17.2
15	-0.057538	-0.061399	0.000001	10.243586	310.767888	0.002033	0.000000	0.002303	7.2	10.5	18.6
16	-0.079261	-0.082904	0.000001	10.319733	310.012331	0.002098	0.000000	0.002343	7.6	11.1	19.6
17	-0.062015	-0.065750	0.000001	10.531632	307.928984	0.001987	0.000000	0.002212	9.9	10.8	22.0
18	-0.052975	-0.056552	0.000001	10.721581	306.085105	0.002096	0.000000	0.002186	8.9	10.7	20.7
19	-0.059999	-0.063448	0.000001	10.800152	305.328839	0.002419	0.000000	0.002682	7.7	10.9	19.7
20	-0.063890	-0.067427	0.000001	10.962459	303.778363	0.002089	0.000000	0.002385	7.5	7.9	16.5
21	-0.073410	-0.076974	0.000001	11.742695	296.539527	0.002225	0.000000	0.002478	7.1	8.0	16.0
22	-0.068908	-0.072432	0.000001	12.463299	290.153801	0.002429	0.000000	0.002538	6.2	7.6	14.7
23	-0.061318	-0.064944	0.000001	12.836139	286.956598	0.002116	0.000000	0.002393	5.7	8.2	14.8
24	-0.062426	-0.065852	0.000001	13.548168	281.042500	0.002013	0.000000	0.002158	6.2	8.8	15.9
25	-0.065162	-0.068567	0.000001	13.680761	279.968000	0.002360	0.000000	0.002503	6.6	9.1	16.6
26	-0.069592	-0.072888	0.000001	13.981562	277.560604	0.002169	0.000000	0.002361	6.4	9.3	16.8
27	-0.061571	-0.064872	0.000001	14.382362	274.416483	0.002024	0.000000	0.002107	6.9	10.9	18.8
28	-0.070563	-0.073843	0.000001	14.586878	272.839426	0.002652	0.000000	0.002642	7.4	9.9	18.3
29	-0.062505	-0.065969	0.000001	14.567504	272.988046	0.002069	0.000000	0.002244	7.4	9.4	17.8
